  Year,      CO2 filled [ppm],
1958,-99.99,
1958,-99.99,
1958,315.71,
1958,317.45,
1958,317.51,
1958,317.27,
1958,315.87,
1958,314.93,
1958,313.21,
1958,312.42,
1958,313.33,
1958,314.67,
1959,315.58,
1959,316.49,
1959,316.65,
1959,317.72,
1959,318.29,
1959,318.15,
1959,316.54,
1959,314.8,
1959,313.84,
1959,313.33,
1959,314.81,
1959,315.58,
1960,316.43,
1960,316.98,
1960,317.58,
1960,319.03,
1960,320.03,
1960,319.58,
1960,318.18,
1960,315.9,
1960,314.17,
1960,313.83,
1960,315,
1960,316.19,
1961,316.89,
1961,317.7,
1961,318.54,
1961,319.48,
1961,320.58,
1961,319.77,
1961,318.56,
1961,316.79,
1961,314.99,
1961,315.31,
1961,316.1,
1961,317.01,
1962,317.94,
1962,318.55,
1962,319.68,
1962,320.57,
1962,321.02,
1962,320.62,
1962,319.61,
1962,317.4,
1962,316.24,
1962,315.42,
1962,316.69,
1962,317.7,
1963,318.74,
1963,319.07,
1963,319.86,
1963,321.38,
1963,322.24,
1963,321.49,
1963,319.74,
1963,317.77,
1963,316.21,
1963,315.99,
1963,317.07,
1963,318.35,
1964,319.57,
1964,320.04,
1964,320.75,
1964,321.84,
1964,322.25,
1964,321.89,
1964,320.44,
1964,318.69,
1964,316.71,
1964,316.87,
1964,317.68,
1964,318.71,
1965,319.44,
1965,320.44,
1965,320.89,
1965,322.14,
1965,322.17,
1965,321.87,
1965,321.21,
1965,318.87,
1965,317.82,
1965,317.3,
1965,318.87,
1965,319.42,
1966,320.62,
1966,321.6,
1966,322.39,
1966,323.7,
1966,324.08,
1966,323.75,
1966,322.37,
1966,320.36,
1966,318.64,
1966,318.1,
1966,319.78,
1966,321.02,
1967,322.33,
1967,322.5,
1967,323.03,
1967,324.41,
1967,325,
1967,324.09,
1967,322.54,
1967,320.92,
1967,319.25,
1967,319.39,
1967,320.73,
1967,321.96,
1968,322.57,
1968,323.15,
1968,323.89,
1968,325.02,
1968,325.57,
1968,325.36,
1968,324.14,
1968,322.11,
1968,320.33,
1968,320.25,
1968,321.32,
1968,322.89,
1969,324,
1969,324.41,
1969,325.63,
1969,326.66,
1969,327.38,
1969,326.71,
1969,325.88,
1969,323.66,
1969,322.38,
1969,321.78,
1969,322.85,
1969,324.11,
1970,325.06,
1970,325.99,
1970,326.93,
1970,328.13,
1970,328.08,
1970,327.67,
1970,326.34,
1970,324.68,
1970,323.1,
1970,323.06,
1970,324.01,
1970,325.13,
1971,326.17,
1971,326.69,
1971,327.18,
1971,327.78,
1971,328.93,
1971,328.57,
1971,327.36,
1971,325.43,
1971,323.36,
1971,323.56,
1971,324.8,
1971,326.01,
1972,326.77,
1972,327.63,
1972,327.75,
1972,329.72,
1972,330.07,
1972,329.09,
1972,328.04,
1972,326.32,
1972,324.84,
1972,325.2,
1972,326.5,
1972,327.55,
1973,328.55,
1973,329.57,
1973,330.3,
1973,331.5,
1973,332.48,
1973,332.07,
1973,330.87,
1973,329.31,
1973,327.52,
1973,327.19,
1973,328.17,
1973,328.65,
1974,329.36,
1974,330.71,
1974,331.49,
1974,332.65,
1974,333.1,
1974,332.26,
1974,331.18,
1974,329.4,
1974,327.44,
1974,327.38,
1974,328.46,
1974,329.58,
1975,330.41,
1975,331.41,
1975,332.04,
1975,333.32,
1975,333.98,
1975,333.62,
1975,331.91,
1975,330.06,
1975,328.57,
1975,328.35,
1975,329.5,
1975,330.77,
1976,331.76,
1976,332.58,
1976,333.5,
1976,334.59,
1976,334.89,
1976,334.34,
1976,333.06,
1976,330.95,
1976,329.31,
1976,328.95,
1976,330.32,
1976,331.69,
1977,332.94,
1977,333.43,
1977,334.71,
1977,336.08,
1977,336.76,
1977,336.28,
1977,334.93,
1977,332.76,
1977,331.6,
1977,331.17,
1977,332.41,
1977,333.86,
1978,334.98,
1978,335.4,
1978,336.65,
1978,337.76,
1978,338.02,
1978,337.91,
1978,336.55,
1978,334.69,
1978,332.77,
1978,332.56,
1978,333.93,
1978,334.96,
1979,336.24,
1979,336.77,
1979,337.97,
1979,338.89,
1979,339.48,
1979,339.3,
1979,337.74,
1979,336.1,
1979,333.93,
1979,333.87,
1979,335.3,
1979,336.74,
1980,338.03,
1980,338.37,
1980,340.09,
1980,340.78,
1980,341.48,
1980,341.19,
1980,339.57,
1980,337.61,
1980,335.9,
1980,336.03,
1980,337.12,
1980,338.23,
1981,339.25,
1981,340.5,
1981,341.4,
1981,342.52,
1981,342.93,
1981,342.27,
1981,340.5,
1981,338.45,
1981,336.71,
1981,336.88,
1981,338.38,
1981,339.63,
1982,340.77,
1982,341.63,
1982,342.72,
1982,343.59,
1982,344.16,
1982,343.37,
1982,342.07,
1982,339.83,
1982,338,
1982,337.88,
1982,339.28,
1982,340.51,
1983,341.4,
1983,342.54,
1983,343.12,
1983,344.96,
1983,345.78,
1983,345.34,
1983,344,
1983,342.4,
1983,339.89,
1983,340,
1983,341.16,
1983,342.99,
1984,343.82,
1984,344.62,
1984,345.38,
1984,347.14,
1984,347.52,
1984,346.88,
1984,345.47,
1984,343.34,
1984,341.13,
1984,341.4,
1984,343.02,
1984,344.25,
1985,344.99,
1985,346.01,
1985,347.43,
1985,348.34,
1985,348.92,
1985,348.24,
1985,346.53,
1985,344.64,
1985,343.06,
1985,342.77,
1985,344.21,
1985,345.53,
1986,346.28,
1986,346.93,
1986,347.83,
1986,349.53,
1986,350.19,
1986,349.54,
1986,347.92,
1986,345.88,
1986,344.83,
1986,344.15,
1986,345.64,
1986,346.88,
1987,348,
1987,348.47,
1987,349.41,
1987,350.97,
1987,351.84,
1987,351.25,
1987,349.5,
1987,348.08,
1987,346.44,
1987,346.09,
1987,347.54,
1987,348.69,
1988,350.16,
1988,351.47,
1988,351.96,
1988,353.33,
1988,353.97,
1988,353.55,
1988,352.14,
1988,350.19,
1988,348.5,
1988,348.66,
1988,349.85,
1988,351.12,
1989,352.55,
1989,352.86,
1989,353.48,
1989,355.21,
1989,355.47,
1989,354.92,
1989,353.7,
1989,351.47,
1989,349.61,
1989,349.79,
1989,351.1,
1989,352.32,
1990,353.46,
1990,354.5,
1990,355.19,
1990,356,
1990,356.96,
1990,356.04,
1990,354.62,
1990,352.71,
1990,350.77,
1990,350.99,
1990,352.64,
1990,354.02,
1991,354.53,
1991,355.55,
1991,356.96,
1991,358.4,
1991,359.14,
1991,358.04,
1991,355.98,
1991,353.81,
1991,351.95,
1991,352.02,
1991,353.55,
1991,354.79,
1992,355.79,
1992,356.53,
1992,357.61,
1992,358.95,
1992,359.46,
1992,359.06,
1992,356.82,
1992,354.8,
1992,352.81,
1992,353.11,
1992,353.96,
1992,355.2,
1993,356.5,
1993,356.97,
1993,358.18,
1993,359.26,
1993,360.08,
1993,359.4,
1993,357.38,
1993,355.33,
1993,353.5,
1993,353.8,
1993,355.15,
1993,356.62,
1994,358.19,
1994,358.73,
1994,359.79,
1994,361.09,
1994,361.52,
1994,360.78,
1994,359.38,
1994,357.31,
1994,355.68,
1994,355.83,
1994,357.42,
1994,358.87,
1995,359.81,
1995,360.84,
1995,361.48,
1995,363.3,
1995,363.64,
1995,363.11,
1995,361.74,
1995,359.31,
1995,357.91,
1995,357.62,
1995,359.42,
1995,360.56,
1996,361.91,
1996,363.11,
1996,363.89,
1996,364.58,
1996,365.29,
1996,364.84,
1996,363.52,
1996,361.35,
1996,359.32,
1996,359.48,
1996,360.64,
1996,362.21,
1997,363.06,
1997,363.87,
1997,364.44,
1997,366.23,
1997,366.68,
1997,365.52,
1997,364.36,
1997,362.39,
1997,360.08,
1997,360.67,
1997,362.32,
1997,364.17,
1998,365.22,
1998,366.04,
1998,367.2,
1998,368.5,
1998,369.19,
1998,368.77,
1998,367.53,
1998,365.68,
1998,363.8,
1998,364.13,
1998,365.36,
1998,366.87,
1999,368.05,
1999,368.77,
1999,369.49,
1999,371.04,
1999,370.9,
1999,370.25,
1999,369.17,
1999,366.83,
1999,364.54,
1999,365.04,
1999,366.58,
1999,367.92,
2000,369.05,
2000,369.37,
2000,370.42,
2000,371.57,
2000,371.74,
2000,371.6,
2000,370.02,
2000,368.03,
2000,366.53,
2000,366.64,
2000,368.2,
2000,369.44,
2001,370.2,
2001,371.42,
2001,372.04,
2001,372.78,
2001,373.94,
2001,373.23,
2001,371.54,
2001,369.47,
2001,367.88,
2001,368.01,
2001,369.6,
2001,371.16,
2002,372.36,
2002,373,
2002,373.44,
2002,374.77,
2002,375.48,
2002,375.33,
2002,373.95,
2002,371.41,
2002,370.63,
2002,370.18,
2002,372.01,
2002,373.71,
2003,374.61,
2003,375.55,
2003,376.04,
2003,377.58,
2003,378.28,
2003,378.07,
2003,376.54,
2003,374.42,
2003,372.92,
2003,372.94,
2003,374.29,
2003,375.63,
2004,376.73,
2004,377.31,
2004,378.33,
2004,380.44,
2004,380.56,
2004,379.49,
2004,377.7,
2004,375.77,
2004,373.99,
2004,374.17,
2004,375.79,
2004,377.39,
2005,378.29,
2005,379.56,
2005,380.07,
2005,382.01,
2005,382.21,
2005,382.05,
2005,380.63,
2005,378.64,
2005,376.38,
2005,376.77,
2005,378.27,
2005,379.93,
2006,381.33,
2006,381.98,
2006,382.53,
2006,384.33,
2006,384.89,
2006,384,
2006,382.25,
2006,380.44,
2006,378.77,
2006,379.03,
2006,380.11,
2006,381.63,
2007,382.55,
2007,383.68,
2007,384.31,
2007,386.19,
2007,386.38,
2007,385.85,
2007,384.41,
2007,381.81,
2007,380.83,
2007,380.83,
2007,382.32,
2007,383.58,
2008,385.04,
2008,385.81,
2008,385.8,
2008,386.74,
2008,388.48,
2008,388.02,
2008,386.22,
2008,384.05,
2008,383.05,
2008,382.75,
2008,383.98,
2008,385.08,
2009,386.63,
2009,387.1,
2009,388.5,
2009,389.54,
2009,390.15,
2009,389.6,
2009,388.05,
2009,386.06,
2009,384.64,
2009,384.32,
2009,386.05,
2009,387.48,
2010,388.55,
2010,390.08,
2010,391.02,
2010,392.39,
2010,393.24,
2010,392.26,
2010,390.35,
2010,388.53,
2010,386.85,
2010,387.18,
2010,388.69,
2010,389.83,
2011,391.33,
2011,391.96,
2011,392.49,
2011,393.4,
2011,394.33,
2011,393.75,
2011,392.64,
2011,390.25,
2011,389.05,
2011,388.98,
2011,390.3,
2011,391.86,
2012,393.13,
2012,393.42,
2012,394.43,
2012,396.51,
2012,396.96,
2012,395.97,
2012,394.6,
2012,392.61,
2012,391.2,
2012,391.09,
2012,393.03,
2012,394.42,
2013,395.69,
2013,396.94,
2013,397.35,
2013,398.44,
2013,400.06,
2013,398.96,
2013,397.45,
2013,395.49,
2013,393.47,
2013,393.77,
2013,395.27,
2013,396.9,
2014,398.01,
2014,398.18,
2014,399.56,
2014,401.43,
2014,401.98,
2014,401.41,
2014,399.17,
2014,397.3,
2014,395.49,
2014,395.74,
2014,397.32,
2014,398.89,
2015,399.94,
2015,400.4,
2015,401.6,
2015,403.52,
2015,404.04,
2015,402.81,
2015,401.53,
2015,398.93,
2015,397.43,
2015,398.22,
2015,400.17,
2015,401.82,
2016,402.57,
2016,404.1,
2016,404.79,
2016,407.48,
2016,407.6,
2016,406.94,
2016,404.43,
2016,402.16,
2016,400.94,
2016,401.43,
2016,403.57,
2016,404.49,
2017,406,
2017,406.57,
2017,406.99,
2017,408.88,
2017,409.84,
2017,409.04,
2017,407.14,
2017,405.19,
2017,403.2,
2017,403.56,
2017,405.1,
2017,406.68,
2018,407.98,
2018,408.35,
2018,409.21,
2018,410.23,
2018,411.23,
2018,410.81,
2018,408.83,
2018,407.02,
2018,405.53,
2018,405.93,
2018,408.05,
2018,409.16,
2019,410.85,
2019,411.58,
2019,411.9,
2019,413.46,
2019,414.75,
2019,413.89,
2019,411.79,
2019,410.02,
2019,408.48,
2019,408.4,
2019,410.16,
2019,411.81,
2020,413.32,
2020,414.04,
2020,414.44,
2020,416.11,
2020,417.16,
2020,416.29,
2020,414.42,
2020,412.52,
2020,411.17,
2020,411.12,
2020,412.89,
2020,413.88,
2021,415.15,
2021,416.47,
2021,417.1,
2021,418.26,
2021,418.95,
2021,418.7,
2021,416.66,
2021,414.38,
2021,412.93,
2021,413.52,
2021,414.81,
2021,416.43,
2022,418.01,
2022,418.99,
2022,418.45,
2022,420.01,
2022,420.78,
2022,420.68,
2022,418.71,
2022,416.75,
2022,415.42,
2022,415.31,
2022,417.03,
2022,418.48,
2023,419.23,
2023,420.33,
2023,420.51,
2023,422.73,
2023,423.78,
2023,423.39,
2023,421.62,
2023,419.56,
2023,418.06,
2023,418.4,
2023,420.12,
2023,421.65,
2024,422.62,
2024,424.35,
2024,425.22,
